name,link,gender,age,nationality,born,place_of_birth,year,died,category,country
César Milstein,https://en.wikipedia.org/wiki/C%C3%A9sar_Milstein,,,,8 October 1927,, 1984,24 March 2002, Physiology or Medicine,
Saul Bellow*,https://en.wikipedia.org/wiki/Saul_Bellow,,,,10 June 1915,, 1976,5 April 2005, Literature,
David H. Hubel*,https://en.wikipedia.org/wiki/David_H._Hubel,,,,"February 27, 1926",, 1981,"September 22, 2013", Physiology or Medicine,
Henry Taube*,https://en.wikipedia.org/wiki/Henry_Taube,,,,"November 30, 1915",, 1983,"November 16, 2005", Chemistry,
John Polanyi,https://en.wikipedia.org/wiki/John_Polanyi,,,,23 January 1929,, 1986,, Chemistry,
Sidney Altman,https://en.wikipedia.org/wiki/Sidney_Altman,,,,,, 1989,, Chemistry,
Richard E. Taylor,https://en.wikipedia.org/wiki/Richard_E._Taylor,,,,"November 2, 1929",, 1990,, Physics,
Rudolph A. Marcus*,https://en.wikipedia.org/wiki/Rudolph_A._Marcus,,,,"July 21, 1923",, 1992,, Chemistry,
Michael Smith,https://en.wikipedia.org/wiki/Michael_Smith_(chemist),,,,26 April 1932,, 1993,4 October 2000, Chemistry,
Bertram Brockhouse,https://en.wikipedia.org/wiki/Bertram_Brockhouse,,,,"July 15, 1918",, 1994,"October 13, 2003", Physics,
Pugwash Conferences on Science and World Affairs,https://en.wikipedia.org/wiki/Pugwash_Conferences_on_Science_and_World_Affairs,,,,,, 1995,, Peace,
William Vickrey*,https://en.wikipedia.org/wiki/William_Vickrey,,,,21 June 1914,, 1996,11 October 1996, Economics,
Myron Scholes*,https://en.wikipedia.org/wiki/Myron_Scholes,,,,,, 1997,, Economics,
Robert Mundell,https://en.wikipedia.org/wiki/Robert_Mundell,,,,"October 24, 1932",, 1999,, Economics,
Jack W. Szostak,https://en.wikipedia.org/wiki/Jack_W._Szostak,,,,"November 9, 1952",, 2009,, Physiology or Medicine,
Willard Boyle*,https://en.wikipedia.org/wiki/Willard_Boyle,,,,"August 19, 1924",, 2009,"May 7, 2011", Physics,
Ralph M. Steinman,https://en.wikipedia.org/wiki/Ralph_M._Steinman,,,,"January 14, 1943",, 2011,"September 30, 2011", Physiology or Medicine,
Alice Munro,https://en.wikipedia.org/wiki/Alice_Munro,,,,10 July 1931,, 2013,, Literature,
Arthur B. McDonald,https://en.wikipedia.org/wiki/Arthur_B._McDonald,,,,"August 29, 1943",, 2015,, Physics,
Elias Canetti*,https://en.wikipedia.org/wiki/Elias_Canetti,,,,,, 1981,, Literature,
Ivo Andrić*,https://en.wikipedia.org/wiki/Ivo_Andri%C4%87,,,,9 October 1892,, 1961,13 March 1975, Literature,
Vladimir Prelog*,https://en.wikipedia.org/wiki/Vladimir_Prelog,,,,23 July 1906,, 1975,7 January 1998, Chemistry,
Institut de Droit International,https://en.wikipedia.org/wiki/Institut_de_Droit_International,,,,,, 1904,, Peace,
Auguste Beernaert,https://en.wikipedia.org/wiki/Auguste_Beernaert,,,,26 July 1829,, 1909,6 October 1912, Peace,
Maurice Maeterlinck,https://en.wikipedia.org/wiki/Maurice_Maeterlinck,,,,29 August 1862,, 1911,6 May 1949, Literature,
Henri La Fontaine,https://en.wikipedia.org/wiki/Henri_La_Fontaine,,,,,, 1913,, Peace,
Jules Bordet,https://en.wikipedia.org/wiki/Jules_Bordet,,,,13 June 1870,, 1919,6 April 1961, Physiology or Medicine,
Corneille Heymans,https://en.wikipedia.org/wiki/Corneille_Heymans,,,,28 March 1892,, 1938,18 July 1968, Physiology or Medicine,
Dominique Pire,https://en.wikipedia.org/wiki/Dominique_Pire,,,,"February 10, 1910",, 1958,"January 30, 1969", Peace,
Albert Claude,https://en.wikipedia.org/wiki/Albert_Claude,,,,24 August 1899,, 1974,22 May 1983, Physiology or Medicine,
Christian de Duve,https://en.wikipedia.org/wiki/Christian_de_Duve,,,,2 October 1917,, 1974,4 May 2013, Physiology or Medicine,
Ilya Prigogine,https://en.wikipedia.org/wiki/Ilya_Prigogine,,,,,, 1977,, Chemistry,
François Englert,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Englert,,,,6 November 1932,, 2013,, Physics,
Simon Kuznets*,https://en.wikipedia.org/wiki/Simon_Kuznets,,,,"April 30, 1901",, 1971,"July 8, 1985", Economics,
Menachem Begin*,https://en.wikipedia.org/wiki/Menachem_Begin,,,,,, 1978,, Peace,
Shimon Peres*,https://en.wikipedia.org/wiki/Shimon_Peres,,,,"August 2, 1923",, 1994,"September 28, 2016", Peace,
Manfred Eigen,https://en.wikipedia.org/wiki/Manfred_Eigen,,,,"May 9, 1927",, 1967,, Chemistry,
Max Delbrück*,https://en.wikipedia.org/wiki/Max_Delbr%C3%BCck,,,,"September 4, 1906",, 1969,"March 9, 1981", Physiology or Medicine,
Bernard Katz*,https://en.wikipedia.org/wiki/Bernard_Katz,,,,26 March 1911,, 1970,20 April 2003, Physiology or Medicine,
Willy Brandt,https://en.wikipedia.org/wiki/Willy_Brandt,,,,18 December 1913,, 1971,8 October 1992, Peace,
Gerhard Herzberg*,https://en.wikipedia.org/wiki/Gerhard_Herzberg,,,,"December 25, 1904",, 1971,"March 3, 1999", Chemistry,
Heinrich Böll,https://en.wikipedia.org/wiki/Heinrich_B%C3%B6ll,,,,21 December 1917,, 1972,16 July 1985, Literature,
Karl Ritter von Frisch,https://en.wikipedia.org/wiki/Karl_Ritter_von_Frisch,,,,20 November 1886,, 1973,12 June 1982, Physiology or Medicine,
Ernst Otto Fischer,https://en.wikipedia.org/wiki/Ernst_Otto_Fischer,,,,10 November 1918,, 1973,23 July 2007, Chemistry,
Henry Kissinger*,https://en.wikipedia.org/wiki/Henry_Kissinger,,,,"May 27, 1923",, 1978,, Peace,
Richard Adolf Zsigmondy,https://en.wikipedia.org/wiki/Richard_Adolf_Zsigmondy,,,,1 April 1865,, 1925,23 September 1929, Chemistry,
Albert Szent-Györgyi,https://en.wikipedia.org/wiki/Albert_Szent-Gy%C3%B6rgyi,,,,"September 16, 1893",, 1937,"October 22, 1986", Physiology or Medicine,
George de Hevesy,https://en.wikipedia.org/wiki/George_de_Hevesy,,,,1 August 1885,, 1943,5 July 1966, Chemistry,
Georg von Békésy,https://en.wikipedia.org/wiki/Georg_von_B%C3%A9k%C3%A9sy,,,,,, 1961,, Physiology or Medicine,
Eugene Wigner,https://en.wikipedia.org/wiki/Eugene_Wigner,,,,"November 17, 1902",, 1963,"January 1, 1995", Physics,
Dennis Gabor,https://en.wikipedia.org/wiki/Dennis_Gabor,,,,5 June 1900,, 1971,9 February 1979, Physics,
John Polanyi,https://en.wikipedia.org/wiki/John_Polanyi,,,,23 January 1929,, 1986,, Chemistry,
Yasunari Kawabata,https://en.wikipedia.org/wiki/Yasunari_Kawabata,,,,,, 1968,, Literature,
Leo Esaki,https://en.wikipedia.org/wiki/Leo_Esaki,,,,"March 12, 1925",, 1973,, Physics,
Eisaku Satō,https://en.wikipedia.org/wiki/Eisaku_Sat%C5%8D,,,,,, 1974,, Peace,
Kenichi Fukui,https://en.wikipedia.org/wiki/Kenichi_Fukui,,,,"October 4, 1918",, 1981,"January 9, 1998", Chemistry,
Susumu Tonegawa,https://en.wikipedia.org/wiki/Susumu_Tonegawa,,,,"September 6, 1939",, 1987,, Physiology or Medicine,
Kenzaburō Ōe,https://en.wikipedia.org/wiki/Kenzabur%C5%8D_%C5%8Ce,,,,"January 31, 1935",, 1994,, Literature,
Hideki Shirakawa,https://en.wikipedia.org/wiki/Hideki_Shirakawa,,,,"August 20, 1936",, 2000,, Chemistry,
Ryōji Noyori,https://en.wikipedia.org/wiki/Ry%C5%8Dji_Noyori,,,,3 September 1938,, 2001,, Chemistry,
Masatoshi Koshiba,https://en.wikipedia.org/wiki/Masatoshi_Koshiba,,,,"September 19, 1926",, 2002,, Physics,
Koichi Tanaka,https://en.wikipedia.org/wiki/Koichi_Tanaka,,,,3 August 1959,, 2002,, Chemistry,
Yoichiro Nambu*,https://en.wikipedia.org/wiki/Yoichiro_Nambu,,,,18 January 1921,, 2008,5 July 2015, Physics,
Makoto Kobayashi,https://en.wikipedia.org/wiki/Makoto_Kobayashi_(physicist),,,,"April 7, 1944",, 2008,, Physics,
Toshihide Maskawa,https://en.wikipedia.org/wiki/Toshihide_Maskawa,,,,"February 7, 1940",, 2008,, Physics,
Osamu Shimomura,https://en.wikipedia.org/wiki/Osamu_Shimomura,,,,"August 27, 1928",, 2008,, Chemistry,
Ei-ichi Negishi,https://en.wikipedia.org/wiki/Ei-ichi_Negishi,,,,"July 14, 1935",, 2010,, Chemistry,
Akira Suzuki,https://en.wikipedia.org/wiki/Akira_Suzuki_(chemist),,,,"September 12, 1930",, 2010,, Chemistry,
Shinya Yamanaka,https://en.wikipedia.org/wiki/Shinya_Yamanaka,,,,,, 2012,, Physiology or Medicine,
Isamu Akasaki,https://en.wikipedia.org/wiki/Isamu_Akasaki,,,,,, 2014,, Physics,
Karl Manne Siegbahn,https://en.wikipedia.org/wiki/Karl_Manne_Siegbahn,,,,3 December 1886,, 1924,26 September 1978, Physics,
Theodor Svedberg,https://en.wikipedia.org/wiki/Theodor_Svedberg,,,,30 August 1884,, 1926,25 February 1971, Chemistry,
Hans von Euler-Chelpin,https://en.wikipedia.org/wiki/Hans_von_Euler-Chelpin,,,,,, 1929,, Chemistry,
Nathan Söderblom,https://en.wikipedia.org/wiki/Nathan_S%C3%B6derblom,,,,15 January 1866,, 1930,12 July 1931, Peace,
Erik Axel Karlfeldt,https://en.wikipedia.org/wiki/Erik_Axel_Karlfeldt,,,,20 July 1864,, 1931 (posthumously),8 April 1931, Literature,
Arne Tiselius,https://en.wikipedia.org/wiki/Arne_Tiselius,,,,10 August 1902,, 1948,29 October 1971, Chemistry,
Pär Lagerkvist,https://en.wikipedia.org/wiki/P%C3%A4r_Lagerkvist,,,,,, 1951,, Literature,
Dag Hammarskjöld,https://en.wikipedia.org/wiki/Dag_Hammarskj%C3%B6ld,,,,29 July 1905,, 1961 (posthumously),18 September 1961, Peace,
Nelly Sachs,https://en.wikipedia.org/wiki/Nelly_Sachs,,,,10 December 1891,, 1966,12 May 1970, Literature,
Ragnar Granit,https://en.wikipedia.org/wiki/Ragnar_Granit,,,,"October 30, 1900",, 1967,"March 12, 1991", Physiology or Medicine,
Hannes Alfvén,https://en.wikipedia.org/wiki/Hannes_Alfv%C3%A9n,,,,30 May 1908,, 1970,2 April 1995, Physics,
Ulf von Euler,https://en.wikipedia.org/wiki/Ulf_von_Euler,,,,7 February 1905,, 1970,9 March 1983, Physiology or Medicine,
Gunnar Myrdal,https://en.wikipedia.org/wiki/Gunnar_Myrdal,,,,6 December 1898,, 1974,17 May 1987, Economics,
Harry Martinson,https://en.wikipedia.org/wiki/Harry_Martinson,,,,6 May 1904,, 1974,11 February 1978, Literature,
Eyvind Johnson,https://en.wikipedia.org/wiki/Eyvind_Johnson,,,,,, 1974,, Literature,
Bertil Ohlin,https://en.wikipedia.org/wiki/Bertil_Ohlin,,,,,, 1977,, Economics,
Richard J. Roberts,https://en.wikipedia.org/wiki/Richard_J._Roberts,,,,6 September 1943,, 1993,, Physiology or Medicine,
Joseph Rotblat*,https://en.wikipedia.org/wiki/Joseph_Rotblat,,,,4 November 1908,, 1995,31 August 2005, Peace,
James A. Mirrlees,https://en.wikipedia.org/wiki/James_A._Mirrlees,,,,5 July 1936,, 1996,, Economics,
Harold Kroto,https://en.wikipedia.org/wiki/Harold_Kroto,,,,7 October 1939,, 1996,30 April 2016, Chemistry,
John E. Walker,https://en.wikipedia.org/wiki/John_E._Walker,,,,7 January 1941,, 1997,, Chemistry,
John Pople,https://en.wikipedia.org/wiki/John_Pople,,,,31 October 1925,, 1998,15 March 2004, Chemistry,
David Trimble,https://en.wikipedia.org/wiki/David_Trimble,,,,15 October 1944,, 1998,, Peace,
William Henry Bragg,https://en.wikipedia.org/wiki/William_Henry_Bragg,,,,2 July 1862,, 1915,12 March 1942, Physics,
Charles Glover Barkla,https://en.wikipedia.org/wiki/Charles_Glover_Barkla,,,,7 June 1877,, 1917,23 October 1944, Physics,
Frederick Soddy,https://en.wikipedia.org/wiki/Frederick_Soddy,,,,2 September 1877,, 1921,22 September 1956, Chemistry,
Francis William Aston,https://en.wikipedia.org/wiki/Francis_William_Aston,,,,1 September 1877,, 1922,20 November 1945, Chemistry,
John James Rickard Macleod*,https://en.wikipedia.org/wiki/John_James_Rickard_Macleod,,,,6 September 1876,, 1923,16 March 1935, Physiology or Medicine,
George Bernard Shaw,https://en.wikipedia.org/wiki/George_Bernard_Shaw,,,,26 July 1856,, 1925,2 November 1950, Literature,
Austen Chamberlain,https://en.wikipedia.org/wiki/Austen_Chamberlain,,,,16 October 1863,, 1925,17 March 1937, Peace,
Charles Thomson Rees Wilson,https://en.wikipedia.org/wiki/Charles_Thomson_Rees_Wilson,,,,14 February 1868,, 1927,15 November 1959, Physics,
Owen Willans Richardson,https://en.wikipedia.org/wiki/Owen_Willans_Richardson,,,,26 April 1879,, 1928,15 February 1959, Physics,
Frederick Hopkins,https://en.wikipedia.org/wiki/Frederick_Hopkins,,,,20 June 1861,, 1929,16 May 1947, Physiology or Medicine,
Arthur Harden,https://en.wikipedia.org/wiki/Arthur_Harden,,,,12 October 1865,, 1929,17 June 1940, Chemistry,
Edgar Adrian,"https://en.wikipedia.org/wiki/Edgar_Adrian,_1st_Baron_Adrian",,,,30 November 1889,, 1932,4 August 1977, Physiology or Medicine,
John Galsworthy,https://en.wikipedia.org/wiki/John_Galsworthy,,,,14 August 1867,, 1932,31 January 1933, Literature,
Henry W. Kendall,https://en.wikipedia.org/wiki/Henry_W._Kendall,,,,"December 9, 1926",, 1990,"February 15, 1999", Physics,
Jerome I. Friedman,https://en.wikipedia.org/wiki/Jerome_I._Friedman,,,,"March 28, 1930",, 1990,, Physics,
Harry M. Markowitz,https://en.wikipedia.org/wiki/Harry_M._Markowitz,,,,"August 24, 1927",, 1990,, Economics,
William F. Sharpe,https://en.wikipedia.org/wiki/William_F._Sharpe,,,,"June 16, 1934",, 1990,, Economics,
Merton H. Miller,https://en.wikipedia.org/wiki/Merton_H._Miller,,,,16 May 1923,, 1990,3 June 2000, Economics,
Elias James Corey,https://en.wikipedia.org/wiki/Elias_James_Corey,,,,"July 12, 1928",, 1990,, Chemistry,
Ronald Coase,https://en.wikipedia.org/wiki/Ronald_Coase,,,,29 December 1910,, 1991,2 September 2013, Economics,
Edwin G. Krebs,https://en.wikipedia.org/wiki/Edwin_G._Krebs,,,,,, 1992,, Physiology or Medicine,
Edmond H. Fischer,https://en.wikipedia.org/wiki/Edmond_H._Fischer,,,,"April 6, 1920",, 1992,, Physiology or Medicine,
Gary S. Becker,https://en.wikipedia.org/wiki/Gary_S._Becker,,,,"December 2, 1930",, 1992,"May 3, 2014", Economics,
Rudolph A. Marcus,https://en.wikipedia.org/wiki/Rudolph_A._Marcus,,,,"July 21, 1923",, 1992,, Chemistry,
Phillip A. Sharp,https://en.wikipedia.org/wiki/Phillip_Allen_Sharp,,,,"June 6, 1944",, 1993,, Physiology or Medicine,
Christian Anfinsen,https://en.wikipedia.org/wiki/Christian_Anfinsen,,,,"March 26, 1916",, 1972,"May 14, 1995", Chemistry,
Ivar Giaever,https://en.wikipedia.org/wiki/Ivar_Giaever,,,,"April 5, 1929",, 1973,, Physics,
Henry Kissinger,https://en.wikipedia.org/wiki/Henry_Kissinger,,,,"May 27, 1923",, 1973,, Peace,
Wassily Leontief,https://en.wikipedia.org/wiki/Wassily_Leontief,,,,"August 5, 1906",, 1973,"February 5, 1999", Economics,
George E. Palade,https://en.wikipedia.org/wiki/George_Emil_Palade,,,,"November 19, 1912",, 1974,"October 8, 2008", Physiology or Medicine,
Gerty Cori,https://en.wikipedia.org/wiki/Gerty_Cori,,,,"August 15, 1896",, 1947,"October 26, 1957", Physiology or Medicine,
Carl Cori,https://en.wikipedia.org/wiki/Carl_Cori,,,,"December 5, 1896",, 1947,"October 20, 1984", Physiology or Medicine,
American Friends Service Committee (The Quakers),https://en.wikipedia.org/wiki/American_Friends_Service_Committee,,,,,, 1947,, Peace,
T. S. Eliot*,https://en.wikipedia.org/wiki/T._S._Eliot,,,,26 September 1888,, 1948,4 January 1965, Literature,
William Faulkner,https://en.wikipedia.org/wiki/William_Faulkner,,,,"September 25, 1897",, 1949,"July 6, 1962", Literature,
William Giauque,https://en.wikipedia.org/wiki/William_Giauque,,,,"May 12, 1895",, 1949,"March 28, 1982", Chemistry,
Edward C. Kendall,https://en.wikipedia.org/wiki/Edward_C._Kendall,,,,"March 8, 1886",, 1950,"May 4, 1972", Physiology or Medicine,
Philip S. Hench,https://en.wikipedia.org/wiki/Philip_S._Hench,,,,"February 28, 1896",, 1950,"March 30, 1965", Physiology or Medicine,
Ralph J. Bunche,https://en.wikipedia.org/wiki/Ralph_Bunche,,,,"August 7, 1903",, 1950,"December 9, 1971", Peace,
Glenn Theodore Seaborg,https://en.wikipedia.org/wiki/Glenn_Theodore_Seaborg,,,,"April 19, 1912",, 1951,"February 25, 1999", Chemistry,
Edwin M. McMillan,https://en.wikipedia.org/wiki/Edwin_M._McMillan,,,,"September 18, 1907",, 1951,"September 7, 1991", Chemistry,
Selman A. Waksman,https://en.wikipedia.org/wiki/Selman_A._Waksman,,,,"July 22, 1888",, 1952,"August 16, 1973", Physiology or Medicine,
Felix Bloch,https://en.wikipedia.org/wiki/Felix_Bloch,,,,23 October 1905,, 1952,10 September 1983, Physics,
Ivo Andrić,https://en.wikipedia.org/wiki/Ivo_Andri%C4%87,,,,9 October 1892,, 1961,13 March 1975, Literature,
Tawakkol Karman,https://en.wikipedia.org/wiki/Tawakkol_Karman,,,,7 February 1979,, 2011,, Peace,
Lê Đức Thọ,https://en.wikipedia.org/wiki/L%C3%AA_%C4%90%E1%BB%A9c_Th%E1%BB%8D,,,,14 October 1911,, 1973 (declined),13 October 1990, Peace,
Baruj Benacerraf,https://en.wikipedia.org/wiki/Baruj_Benacerraf,,,,"October 29, 1920",, 1980,"August 2, 2011", Physiology or Medicine,
Theodore Roosevelt,https://en.wikipedia.org/wiki/Theodore_Roosevelt,,,,"October 27, 1858",, 1906,"January 6, 1919", Peace,
Albert A. Michelson,https://en.wikipedia.org/wiki/Albert_A._Michelson,,,,"December 19, 1852",, 1907,"May 9, 1931", Physics,
Elihu Root,https://en.wikipedia.org/wiki/Elihu_Root,,,,"February 15, 1845",, 1912,"February 7, 1937", Peace,
Theodore W. Richards,https://en.wikipedia.org/wiki/Theodore_W._Richards,,,,"January 31, 1868",, 1914,"April 2, 1928", Chemistry,
Woodrow Wilson,https://en.wikipedia.org/wiki/Woodrow_Wilson,,,,"December 28, 1856",, 1919,"February 3, 1924", Peace,
Robert A. Millikan,https://en.wikipedia.org/wiki/Robert_A._Millikan,,,,"March 22, 1868",, 1923,"December 19, 1953", Physics,
Charles G. Dawes,https://en.wikipedia.org/wiki/Charles_G._Dawes,,,,"August 27, 1865",, 1925,"April 23, 1951", Peace,
Arthur H. Compton,https://en.wikipedia.org/wiki/Arthur_H._Compton,,,,"September 10, 1892",, 1927,"March 15, 1962", Physics,
Frank B. Kellogg,https://en.wikipedia.org/wiki/Frank_B._Kellogg,,,,"December 22, 1856",, 1929,"December 21, 1937", Peace,
Sinclair Lewis,https://en.wikipedia.org/wiki/Sinclair_Lewis,,,,,, 1930,, Literature,
Nicholas M. Butler,https://en.wikipedia.org/wiki/Nicholas_M._Butler,,,,,, 1931,, Peace,
Jane Addams,https://en.wikipedia.org/wiki/Jane_Addams,,,,"September 6, 1860",, 1931,"May 21, 1935", Peace,
Irving Langmuir,https://en.wikipedia.org/wiki/Irving_Langmuir,,,,"January 31, 1881",, 1932,"August 16, 1957", Chemistry,
Thomas H. Morgan,https://en.wikipedia.org/wiki/Thomas_H._Morgan,,,,"September 25, 1866",, 1933,"December 4, 1945", Physiology or Medicine,
George H. Whipple,https://en.wikipedia.org/wiki/George_H._Whipple,,,,,, 1934,, Physiology or Medicine,
William P. Murphy,https://en.wikipedia.org/wiki/William_P._Murphy,,,,,, 1934,, Physiology or Medicine,
George R. Minot,https://en.wikipedia.org/wiki/George_R._Minot,,,,"December 2, 1885",, 1934,"February 25, 1950", Physiology or Medicine,
Harold C. Urey,https://en.wikipedia.org/wiki/Harold_C._Urey,,,,"April 29, 1893",, 1934,"January 5, 1981", Chemistry,
Carl Anderson,https://en.wikipedia.org/wiki/Carl_David_Anderson,,,,"September 3, 1905",, 1936,"January 11, 1991", Physics,
Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill,,,,"October 16, 1888",, 1936,"November 27, 1953", Literature,
Clinton Davisson,https://en.wikipedia.org/wiki/Clinton_Davisson,,,,"October 22, 1881",, 1937,"February 1, 1958", Physics,
Pearl S. Buck,https://en.wikipedia.org/wiki/Pearl_S._Buck,,,,"June 26, 1892",, 1938,"March 6, 1973", Literature,
Ernest Lawrence,https://en.wikipedia.org/wiki/Ernest_Lawrence,,,,"August 8, 1901",, 1939,"August 27, 1958", Physics,
Edward A. Doisy,https://en.wikipedia.org/wiki/Edward_A._Doisy,,,,"November 13, 1893",, 1943,"October 23, 1986", Physiology or Medicine,
Otto Stern,https://en.wikipedia.org/wiki/Otto_Stern,,,,17 February 1888,, 1943,17 August 1969, Physics,
Herbert S. Gasser,https://en.wikipedia.org/wiki/Herbert_S._Gasser,,,,5 July 1888,, 1944,11 May 1963, Physiology or Medicine,
Joseph Erlanger,https://en.wikipedia.org/wiki/Joseph_Erlanger,,,,"January 5, 1874",, 1944,"December 5, 1965", Physiology or Medicine,
Isidor Isaac Rabi,https://en.wikipedia.org/wiki/Isidor_Isaac_Rabi,,,,29 July 1898,, 1944,11 January 1988, Physics,
Cordell Hull,https://en.wikipedia.org/wiki/Cordell_Hull,,,,"October 2, 1871",, 1945,"July 23, 1955", Peace,
Hermann J. Muller,https://en.wikipedia.org/wiki/Hermann_J._Muller,,,,"December 21, 1890",, 1946,"April 5, 1967", Physiology or Medicine,
Percy W. Bridgman,https://en.wikipedia.org/wiki/Percy_W._Bridgman,,,,21 April 1882,, 1946,20 August 1961, Physics,
John R. Mott,https://en.wikipedia.org/wiki/John_Mott,,,,"May 25, 1865",, 1946,"January 31, 1955", Peace,
Emily G. Balch,https://en.wikipedia.org/wiki/Emily_Greene_Balch,,,,"January 8, 1867",, 1946,"January 9, 1961", Peace,
John H. Northrop,https://en.wikipedia.org/wiki/John_H._Northrop,,,,"July 5, 1891",, 1946,"May 27, 1987", Chemistry,
James B. Sumner,https://en.wikipedia.org/wiki/James_B._Sumner,,,,,, 1946,, Chemistry,
Wendell M. Stanley,https://en.wikipedia.org/wiki/Wendell_M._Stanley,,,,"August 16, 1904",, 1946,"June 15, 1971", Chemistry,
E. M. Purcell,https://en.wikipedia.org/wiki/E._M._Purcell,,,,"August 30, 1912",, 1952,"March 7, 1997", Physics,
Fritz Lipmann,https://en.wikipedia.org/wiki/Fritz_Lipmann,,,,,, 1953,, Physiology or Medicine,
George C. Marshall,https://en.wikipedia.org/wiki/George_Marshall,,,,"December 31, 1880",, 1953,"October 16, 1959", Peace,
Thomas H. Weller,https://en.wikipedia.org/wiki/Thomas_H._Weller,,,,"June 15, 1915",, 1954,"August 23, 2008", Physiology or Medicine,
Frederick C. Robbins,https://en.wikipedia.org/wiki/Frederick_C._Robbins,,,,"August 25, 1916",, 1954,"August 4, 2003", Physiology or Medicine,
John F. Enders,https://en.wikipedia.org/wiki/John_F._Enders,,,,"February 10, 1897",, 1954,"September 8, 1985", Physiology or Medicine,
Ernest Hemingway,https://en.wikipedia.org/wiki/Ernest_Hemingway,,,,"July 21, 1899",, 1954,"July 2, 1961", Literature,
Linus C. Pauling,https://en.wikipedia.org/wiki/Linus_Pauling,,,,"February 28, 1901",, 1954,"August 19, 1994", Chemistry,
Polykarp Kusch,https://en.wikipedia.org/wiki/Polykarp_Kusch,,,,"January 26, 1911",, 1955,"March 20, 1993", Physics,
Willis E. Lamb,https://en.wikipedia.org/wiki/Willis_E._Lamb,,,,"July 12, 1913",, 1955,"May 15, 2008", Physics,
Vincent du Vigneaud,https://en.wikipedia.org/wiki/Vincent_du_Vigneaud,,,,"May 18, 1901",, 1955,"December 11, 1978", Chemistry,
André F. Cournand,https://en.wikipedia.org/wiki/Andr%C3%A9_F._Cournand,,,,"September 24, 1895",, 1956,"February 19, 1988", Physiology or Medicine,
Dickinson W. Richards,https://en.wikipedia.org/wiki/Dickinson_W._Richards,,,,,, 1956,, Physiology or Medicine,
Walter H. Brattain,https://en.wikipedia.org/wiki/Walter_H._Brattain,,,,"February 10, 1902",, 1956,"October 13, 1987", Physics,
John Bardeen,https://en.wikipedia.org/wiki/John_Bardeen,,,,"May 23, 1908",, 1956,"January 30, 1991", Physics,
William B. Shockley,https://en.wikipedia.org/wiki/William_B._Shockley,,,,"February 13, 1910",, 1956,"August 12, 1989", Physics,
Tsung-Dao Lee,https://en.wikipedia.org/wiki/Tsung-Dao_Lee,,,,,, 1957,, Physics,
Chen Ning Yang,https://en.wikipedia.org/wiki/Chen_Ning_Yang,,,,,, 1957,, Physics,
Edward Tatum,https://en.wikipedia.org/wiki/Edward_Lawrie_Tatum,,,,,, 1958,, Physiology or Medicine,
Joshua Lederberg,https://en.wikipedia.org/wiki/Joshua_Lederberg,,,,"May 23, 1925",, 1958,"February 2, 2008", Physiology or Medicine,
George Beadle,https://en.wikipedia.org/wiki/George_Wells_Beadle,,,,"October 22, 1903",, 1958,"June 9, 1989", Physiology or Medicine,
Severo Ochoa,https://en.wikipedia.org/wiki/Severo_Ochoa,,,,"September 24, 1905",, 1959,"November 1, 1993", Physiology or Medicine,
Arthur Kornberg,https://en.wikipedia.org/wiki/Arthur_Kornberg,,,,"March 3, 1918",, 1959,"October 26, 2007", Physiology or Medicine,
Emilio Segrè,https://en.wikipedia.org/wiki/Emilio_Segr%C3%A8,,,,30 January 1905,, 1959,22 April 1989, Physics,
Owen Chamberlain,https://en.wikipedia.org/wiki/Owen_Chamberlain,,,,,, 1959,, Physics,
Donald A. Glaser,https://en.wikipedia.org/wiki/Donald_A._Glaser,,,,"September 21, 1926",, 1960,"February 28, 2013", Physics,
Willard F. Libby,https://en.wikipedia.org/wiki/Willard_F._Libby,,,,"December 17, 1908",, 1960,"September 8, 1980", Chemistry,
Georg von Békésy,https://en.wikipedia.org/wiki/Georg_von_B%C3%A9k%C3%A9sy,,,,,, 1961,, Physiology or Medicine,
Robert Hofstadter,https://en.wikipedia.org/wiki/Robert_Hofstadter,,,,"February 5, 1915",, 1961,"November 17, 1990", Physics,
Melvin Calvin,https://en.wikipedia.org/wiki/Melvin_Calvin,,,,"April 8, 1911",, 1961,"January 8, 1997", Chemistry,
James D. Watson,https://en.wikipedia.org/wiki/James_D._Watson,,,,"April 6, 1928",, 1962,, Physiology or Medicine,
Linus C. Pauling,https://en.wikipedia.org/wiki/Linus_Pauling,,,,"February 28, 1901",, 1962,"August 19, 1994", Peace,
John Steinbeck,https://en.wikipedia.org/wiki/John_Steinbeck,,,,"February 27, 1902",, 1962,"December 20, 1968", Literature,
Eugene Wigner,https://en.wikipedia.org/wiki/Eugene_Wigner,,,,"November 17, 1902",, 1963,"January 1, 1995", Physics,
Maria Goeppert-Mayer,https://en.wikipedia.org/wiki/Maria_Goeppert-Mayer,,,,"June 28, 1906",, 1963,"February 20, 1972", Physics,
Konrad Bloch,https://en.wikipedia.org/wiki/Konrad_Bloch,,,,,, 1964,, Physiology or Medicine,
Charles H. Townes,https://en.wikipedia.org/wiki/Charles_H._Townes,,,,"July 28, 1915",, 1964,"January 27, 2015", Physics,
Martin Luther King,"https://en.wikipedia.org/wiki/Martin_Luther_King,_Jr.",,,,"January 15, 1929",, 1964,"April 4, 1968", Peace,
